Date,EUR/HUF,BUBOR 3-MO,EURIBOR 3-MO,50%RMAX+50%ZMAX,ESTER
2020-06-09,1.21,0,0.01,0.005,0.005
2020-06-10,-1.06,0,0.01,0,-0.006
2020-06-11,0.93,0,-0.01,0.01,0.001
2020-06-12,1.16,0,-0.01,0,0.001
2020-06-15,1.35,0,0.01,0.01,-0.001
2020-06-16,-1.54,0,-0.01,0.015,0.001
2020-06-17,-1.14,0,-0.03,0.005,0.002
2020-06-18,0.43,0,0.01,0.05,0
2020-06-19,1.22,-0.01,-0.02,0.015,-0.002
2020-06-22,0.07,0,0.01,0.04,0.001
2020-06-23,2.85,-0.01,-0.01,0.025,0.001
2020-06-24,1.74,-0.13,0.01,0.085,-0.002
2020-06-25,3,0,0,0,-0.001
2020-06-26,1.11,-0.01,0,-0.005,0
2020-06-29,0.7,0,-0.01,0,0.002
2020-06-30,0.92,0,-0.01,0.01,-0.01
2020-07-01,-2.94,0,0,0.005,0.007
2020-07-02,-1.97,0,-0.01,-0.02,0
2020-07-03,-0.49,-0.01,-0.01,-0.01,-0.001
2020-07-06,1.63,-0.02,0,0.01,-0.001
2020-07-07,0.98,-0.01,0,-0.005,0
2020-07-08,1.29,0.01,0.01,0.005,0.001
2020-07-09,-0.73,-0.01,-0.01,0,0
2020-07-10,-0.61,0,0,0,0
2020-07-13,0.11,0,0,-0.02,-0.003
2020-07-14,1.26,0,0.01,-0.01,0.001
2020-07-15,-1.23,0,-0.01,0.005,0
2020-07-16,0.11,0,-0.01,-0.005,0.01
2020-07-17,-0.2,0,0.01,0,-0.01
2020-07-20,-1.52,0,0,0,0
2020-07-21,-0.59,0,-0.01,0.005,0.002
2020-07-22,-1.43,-0.07,0,0,-0.001
2020-07-23,-3.51,-0.02,0,0,0
2020-07-24,0.81,-0.01,0,0,-0.001
2020-07-27,-1.75,0,-0.01,-0.005,-0.001
2020-07-28,0.36,0,0.01,0,0.001
2020-07-29,1.1,0,-0.01,0,-0.002
2020-07-30,-1.54,0,0,-0.01,0.001
